participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0042,R_1f77cfqvlhzneDm,Stupid,Numpty,,Your a f$&ckin numpty,When my mate could answer a math question the teacher called him a numpty,Nope
A0043,R_3ek8dBDFofKiA7h,Stupid,A few streets back from the main road.,,"Don't ask him to fix that, he's a few streets back from the main road.",Throughout my life - more when young - often in a rural context.,
A0044,R_3OravT8TDi4Sjjo,Stupid,Galah or drongo,,"He's a silly galah or He made a right mess of it, what a drongo.",Sometimes by comedians or presenters on TV or radio. Fairly often used by older men in my family circle or community. Infrequently since childhood.,Both are rather old fashioned but I think still in common use.
A0045,R_2rUekGFxxsJiEY7,Stupid,Dill,,You bloody dill,It's an expression I use for my children,I'm in a pickle
A0046,R_qUg2MWMp8glTeO5,Stupid,Dumbcunt,,Don't listen to him he's a dumbcunt,Younger less educated people,
A0047,R_0P4IPF5EGuHhrWh,Stupid,Drongo,,He's an utter drongo,Rural nsw,No
A0049,R_26nEN0ZEyR62Jm3,Stupid,Idiot,,You're an idiot,All the time,
A0051,R_3qOul3It4o3Cdo1,Stupid,Drongo,,"""That drongo next to me just ran a red light""","By family and friends, also in media",
A0054,R_Rm2NyJ97RLkP9MB,Stupid,Dropkick,,What a dropkick,Conversation,
A0055,R_2dyW5Kpx0aOSYN7,Stupid,drongo,,"""You just knocked over your drink, you drongo!""","I think I have read it in an Australian novel, but don't remember hearing it",
A0056,R_21hxZtzE7wSuWAN,Stupid,Moron,,He's a moron,Within the family,No
A0057,R_2pKzYiclf2Hbvmr,Stupid,Drongo,,"Mate, stop acting like a bloody drongo",Used infrequently by older folks,
A0058,R_1FeQLxYd7FQLhrq,Stupid,A stubby short of a 6 pack,,That bloke over there is a stubby short of a 6 pack,If a bunch of Aussie yobbos are together talking about someone,It's used very widely in Australia
A0059,R_33dp0lcL51Lp0v2,Stupid,galah,,He's a flaming galah,At school,
A0060,R_bwjYnyHjb3YCSd3,Stupid,Not all there,,You know he's not all there!,Country Australia,
A0061,R_0Pd0XZ4dnosenex,Stupid,Fuckwit,,"""You're an absolute fuckwit, mate""","Rural Victoria and the younger generation, particularly high schoolers",
A0062,R_1HoV4KTqkii7Wyc,Stupid,drongo,,His constant carping about State government decisions made the Leader of the Opposition appear to be a complete drongo.,"In conversation, but not recently.",
A0063,R_2491T28fW5IOQlf,Stupid,Moron,,You're a moron,Enerywhere,
A0064,R_24dw0X2U9mMJgOq,Stupid,"galah, dickhead, mug",,Stop acting like a bloody galah.,colloquially,Old fashioned I'd say. Popular usage 1980s
A0065,R_6EUJluMBOpaQwgN,Stupid,Drongo,,You accidentally cut your toe off??? You bloody drongo!,,A bloody drongo is dumber than a drongo.
A0066,R_uy6L0W7tpouMzQJ,Stupid,drongo,,"We just got the floors clean, but some drongo came in with muddy shoes","In the media/online, occasionally by friends","This word seems quite derogatory, and using it conveys some notion about being angry/upset about the stupid things the person has done"
A0067,R_3JsJIhyyTA44p2c,Stupid,Duffer,,You silly duffer,Referring to someone clumsy or stupid,
A0068,R_1g8dIJJ8i2hDgxn,Stupid,Drongo,,You're such a drongo! / Ya drongo.,Crocodile Dundee?,Another word I wouldn't use myself unless making a particular point about ockerism.
A0069,R_svUjzfGGrfSLKRr,Stupid,Drongo,,That Mike is a drongo.,Growing up. Home and school.,
A0070,R_XvlWwDrRnhLBJfP,Stupid,Numpty.,,Are you some kind of fucktarded numpty?,Military service.,I reckon this came from the brits.
A0071,R_32XcZs2W9ieDJa0,Stupid,dumbarse,,he is a dumbarse,socially,
A0072,R_0SxfCfjWIo7F5Sx,Stupid,dickhead,,He is such a dickhead.,"Often, and to describe stupid, ignorant and dopey behaviour.",I think it is many used to describe men. You don't seem to hear 'She's such a dickhead'
A4388,R_3potJH8edZezLCB,Stupid,Drongo,,Bloody drongo,School yards and by bogans,
A0073,R_1jxie8IO9rqbtXj,Stupid,Dickhead,,Don't drive like that you dickhead,"In responses to someone acting stupidly like in traffic, doing something unsafe",
A0074,R_3qmR2JnZXnd8huu,Stupid,Drongo,,You're such a drongo!,"Not really among the wider Aussie community (and not the more bogan groups), maybe among a more gentrified or older crowd trying to be playfully larrikin",
A0075,R_1OviB8toSsuE95N,Stupid,"""not the sharpest tool in the shed""",,Someone talking about a fellow employee who is not smart,,
A0076,R_3EXSgDyn0nK7DoZ,Stupid,Drongo,,He's a drongo,Movies tv,
A0077,R_2xPfjOiYJr6yHMy,Stupid,As thick as two planks,,That bloke's as thick as two planks,Not sure - maybe I am imagining it!,
A0078,R_31TpKHyzxG0mIN6,Stupid,Drongo or galah,,""" You're a drongo"", ""You stupid Galah""",Country town conversation,"Could be interchanged with "" shit for brains"""
A0080,R_24Adb2m5tpPSdgE,Stupid,Dickhead,,You're a dickhead,Within my friends and family regardless of age and gender,Not sure if current high school kids use this but my 21 year old sister does
A0081,R_3EWLILWUlwVtSFX,Stupid,Galah,,"What a galah, doesn't know his head from his feet.",As a teenager in the 60's.,No.
A0082,R_3ncJ0M3HmIVj2Jn,Stupid,dipstick,,The dipstick thought he could walk barefoot on the road in this heat!,As an insult.,
A0084,R_sAtOmQjKEjrPfz3,Stupid,drongo,,Who are these drongos in government.,I occasionally hear it in but can't give a specific location.,
A0087,R_10phZFVkMGOweNR,Stupid,Gallah,,What a gallah,Haven't heard it recently,
A0089,R_3Od127Gqv6fyWbA,Stupid,Dumb cunt,,"Somebody not following your easy to follow instructions, I would then ask them if they are a dumb cunt",At work,
A0090,R_2YSvMGJuN4kBi96,Stupid,Few kangaroos in the top paddock,,"That's just not right, she's got a few kangaroos in the top paddock",,
A0091,R_27EA2S6Almc2Skh,Stupid,Clown,,He's a clown.,Casual conversation usually speaking with someone familiar to you.,"Colloquially used to deride someone, for example a politician."
A0092,R_25uRoN5dfyWh2e1,Stupid,fuckwit,,"He thought he could get away with it, he's just a fuckwit.",Typically amongst working class males.,
A0093,R_3lLywnXmsYkjHTS,Stupid,boof-head,,'He's such a boof-head',"Usually used as a non-aggressive, almost affectionate way to call someone stupid or silly",Have seen it used for dogs quite a lot
A0095,R_3LecgoTgDftG5QD,Stupid,Drongo,,"Don't listen to him, he's a drongo.","Generally Australian media, haven't heard it in person recently",
A0096,R_124k5ki6SCCI6Ly,Stupid,"Drongo, dingbat",,You'd be a drongo,,
A0097,R_3EMYk3cW3Sjs4tn,Stupid,Idiot,,You're an idiot,"Often, each day",
A0098,R_2zMz64l2Oh3QVXB,Stupid,Drongo,,He's a real drongo,"Tv, bad Australian movies",Another word is spud (as in potato)
A2654,R_2PtCt0GPsFi5P1b,Stupid,Dumb cunt,,"Darryl's a fucking dumb cunt, mate","Working class expression, very common",Vulgar but not offensive in informal groups
A2565,R_1IishaMDpoc4Sdv,Stupid,Galah,,Don't be a galah,"Friends, family, TV",Also refers to an Australian bird
A2333,R_sT3ZgOr5R5Yc7QZ,Stupid,Not the sharpest tool in the shed.,,I met John today and he's not the sharpest tool in the shed.,Very casual conversation between friends.,
A2279,R_2sauz9R14mRRiBG,Stupid,Ding bat or wally,,Well hes a dingbat then isnt he.,My dad uses rhis expression when someobe does or says something stupid.,
A2566,R_2bI7g89yUPfvOKX,Stupid,Fucktard,,Wrong way you fucktard,Friends use it regularly,
A0099,R_UgA3LsYlYHttJfj,Stupid,Boofhead,,They are very selfish boofheads,the NSW police minister uses it in reference to the Sydney protestors,
A2323,R_1pQGAam7KosrsDm,Stupid,Numnut,,Bloody numnut cut me off.,"In various instances by all genders, more often heard around Warragul (regional Vic(","It tends to be more gentle in usage, and I believe it is considered appropriate to use around children"
A2433,R_2rCMHFRJSvewalT,Stupid,Dork,,"You're such a dork, Bronson.",The TV show Round The Twist,
A2158,R_1nOZEakjxJxbOZM,Stupid,Duffer,,I've been a bit of a duffer,Usually when someone has done something silly or stupid,Often used affectionately
A2334,R_3nPjjin96PZZguL,Stupid,Dickhead,,,,
A2687,R_29sKTahbmyLEGk9,Stupid,Galah,,He's a bloody galah,My dad,
A2688,R_A4D7GDdEcYgLb9f,Stupid,Sandwich short of a picnic,,,All the time,
A2689,R_2c6K0zk85K9Qew9,Stupid,Moron,,He's a rolled gold moron,Not sure,No
A2140,R_2OTLXdxveVX6hii,Stupid,Drongo,,He's a bloody drongo.,Central victoria,
A2434,R_eW0pCFIeEskqf5f,Stupid,Sandwich short of a picnic,,"Oh yeah, I met her. She's a sandwich short of a picnic",If someone is a bit vague or ditzy,
A2655,R_1ib9knzXQIB3tON,Stupid,Idiot,,I can't believe they said... what an idiot,Very commonly. Probably a softer expression to be honest.,
A2567,R_6PPbLQlWf159LFv,Stupid,Drongo,,He's a drongo,Not for a long time,Older slang but pretty sure everyone knows it
A2182,R_3PipXeTtHZslHsw,Stupid,"Galah, Drongo,",,Bloody Galah!,Mostly hurled at idiot drivers along with dickhead.,Oddly both are Birds
A2336,R_3exchMtSBh2HNCp,Stupid,Dill,,You spilt your beer you dill,,
A2541,R_28zH2xHujrvKR97,Stupid,Dumbarse,,That guy is such a dumb arse.,Growing up at school. I have heard many people use this term throughout my life.,
A2436,R_1qevp6b9qLkpRhk,Stupid,Galah,,Those teenagers are a bunch of flamin' galahs,"Home & Away, Facebook comments on news videos.",
A2542,R_1KkkpqYN0cFR2rA,Stupid,Numbnut,,What a numbnut,Friend,
A2569,R_YX3n14KrFXyJDnH,Stupid,Stubby short of a six pack,,,Anywhere and everywhere. Usually in relaxed settings amongst mates,
A0100,R_10xugZpUhhrqktL,Stupid,fuckwit,,what a fuckwit,casual conversation. Where…. wherever idiots abound,might not be intrinsically Australian but I've not heard my overseas friends use it
A2249,R_3CKhwEEtkuTTYtE,Stupid,Drongo,,What a drongo,In conversation,No
A2113,R_3J3ZXYrkF2x0toF,Stupid,drongo,,"""you've got rocks for brains you bloody drongo""","In conversation with my Dad (an older Australian), recounting stories of when he lived in country Vic as a young man. Also when people want to give examples of Aussie slang.",
A0101,R_2Qtksg5VC0g7Ph5,Stupid,tard,,it opens at the other end you tard!,school days and later in life between a few close friends (old school mates),rarely heard in public and its use is generally frowned upon
A2141,R_T75xCF4sVkkhwqJ,Stupid,thick as two short planks,,that guy is thick as two short planks,,
A2338,R_3KJAHlXlaysVoKE,Stupid,a dill,,,,
A0102,R_1dcuM3wAInOhyS4,Stupid,Nuffy,,did you see what he did? Such a Nuffy.,First heard it in 2006,Offensive.
A0104,R_1IufLWExCs6lRdm,Stupid,Gronk,,Don't be such a gronk,Youtube,
A0105,R_3MlecO1eqKinROU,Stupid,Numb nut,,you are a numb nut,my friend uses it sometimes,
A0109,R_2zHLSjP1xmMQzRX,Stupid,Nuffy (Nuff-Nuff),,They're a nuffy,School,It is used by the young people these days
A0110,R_3s7eJBL8nH13hKk,Stupid,idiot,,when someone is frustrating you can call them and idiot out of anger,school books movies,
A0111,R_SVmaqn9rq9WhhtL,Stupid,Numpty,,"""You're a numpty""",School,
A0113,R_2ylWzaL2XMQ1zZL,Stupid,moron,,What a moron!,"Very common in my childhood, in informal usage.","It is generally considered offensive these days, insensitive to people with intellectual disabilities. Occasionally I will still use it if its completely justified. Though I tend to describe people's behaviour as being 'moronic', rather than applying a blanket label."
A0114,R_2tlOO9GuuSsqG6F,Stupid,fuckwit,,"he's gone through a red light, what an absolute fuckwit","in friendship circles, family circles, when someone has done something stupid",it can be used aggressively or less so - depending on tone
A0115,R_3mgkrIP45TmIKjO,Stupid,Drongo,,Scott Morrison is an absolute drongo,Dad,Works without swearing - very onomatopoetic
A0116,R_1NkzAGREIz9MyLp,Stupid,Dingbat,,You're a dingbat,By my dad,
A0117,R_3shLsFQdoFUHhEm,Stupid,Thick as three short planks,,That bloke is as thick as three short planks,A tradie working at my home described an apprentice thus,No
A0118,R_RR1Jq6KoaDpeshz,Stupid,silly galah,,,,
A0119,R_1dgc7SpNEKoWvST,Stupid,Drongo,,,,
A0120,R_rkCfSC2qbZh8g9j,Stupid,Drongo,,"Deadset, he is a drongo",All over,No
A0121,R_1i2l4wQHUQ9Ze24,Stupid,Minda,,He's a real minda,Childhood,I think it comes from Minda Home in Adelaide
A0122,R_XUsTTJlAA75qSFb,Stupid,Dumb as dogs hit,,,,
A0123,R_1zCZIrMOqyt20yR,Stupid,Thick as two short planks,,,,
A0124,R_RnbBBZEJNzW6IF3,Stupid,Drongo,,"What an idiot, total drongo.","Not recently. Last heard as a companion to the bird, the spangled drongo",O
A0125,R_2f2t4ujFOxvXZTX,Stupid,drongo,,"You're a bloody drongo, mate",1980s Australian cinema vibe,"cc. dill, thick as two bricks"
A0126,R_2xx6SSVmvKNzcNw,Stupid,Drongo,,,,
A0127,R_21tfRShPE7AHGE4,Stupid,drongo,,normally used as a noun,I first heard it in childhood and use it myself regularly.,
A0129,R_XGGt4UmDLg1oQJH,Stupid,Drongo,,What a drongo,Over the years,
A0130,R_2rJjl37shA7gs2M,Stupid,Drongo,,Barnaby Joyce is a drongo,When describing an idiot,
A0131,R_3kFf6a7W56ZlC3k,Stupid,drongo,,"He is so stupid, an utter drongo.",everywhere,
A0132,R_bHoZS6nBbULW8wN,Stupid,Dickhead,,,,
A0133,R_5nWwaCIw6nQ4jPb,Stupid,Drongo,,He's a bloody drongo. Thick as pigshit!,Everywhere.,Interesting that there is an Australian bird called a spangled drongo.
A0134,R_3Rsd5C9waaYoFwM,Stupid,Bloody galah,,Look what you've done you bloody galah,Dad!,Not common nowadays
A0136,R_3OoViCzR7En9FCw,Stupid,witless wonder,,Scott Morrison is a witless wonder,Can't recall,No
A0137,R_22E3W6opjsksBz9,Stupid,A few sandwiches short of a picnic,,,Father used it. Now everyone does,
A0138,R_BxBzdvI18IQkq1H,Stupid,Dill,,He was such a dill.,Forever!,
A0139,R_O7Mu0YFeAbalqyR,Stupid,Drongo,,He's such a drongo he can't get anything right,The school environment,
A0140,R_1Ngde0tH4KsIGBC,Stupid,Drongo,,"You're a complete drongo, mate",Various pubs,
A0141,R_2BnUiiAGvuU8ElV,Stupid,drongo,,he's a real bloody drongo,"everywhere, years ago",
A0142,R_2DTuHhSSyzBkswC,Stupid,Thick as two short welshmen.,,"Have a go at this drongo, he's as thick as two short welshmen.",Mostly in my youth in rural Victoria.,"It should be taght in schools, I like it."
A0143,R_3JjXKjstx6Or88W,Stupid,Dick head,,He's just a dick head,,
A0144,R_8228GUoeJt3f6x3,Stupid,Drongo,,,,
A0145,R_uwt2ToPTwtFP32h,Stupid,Fuckwit,,Most pollies are fuckwits,Commonly heard,
A0146,R_2rqr4P2D2kYkCni,Stupid,Ning nong,,He/she is a ning nong.,What a dumb thing to do.,"We were taught not to say people are stupid but to say ""That was a stupid thing to do"
A0147,R_2BwU6XEXO3BlpOJ,Stupid,Derro,,He is a bit of a derro at best,occasionally still,Of course it comes from derelict but morphed into something below the normal standard.
A0148,R_1OTTzWNdkQprTDo,Stupid,drongo,,you're an absolute drongo mate,"at home frequent, in community rare",no
A0149,R_1OPkytdhXH8qyau,Stupid,Drongo,,Scott Morrison is a real drongo,Too numerous to recall all these,
A0150,R_VQEcxtyGRdrFpFn,Stupid,Galah,,Really?,Mostly in reference to AFL umpires.,Nah.
A0151,R_3CZeolF0eOBOj4R,Stupid,Galah,,He's acting like a silly galah,"Not sure, maybe with parents at daycare?",
A0152,R_28GQEW9g79uAr9A,Stupid,Drongo,,He was a real drongo,More from my childhood,
A0153,R_1gnWx5FKe3oxJUh,Stupid,Sausage short of a barbie,,"I don't use this one, well not often",Me muttering,
A0154,R_24b7XyhnZpvhadr,Stupid,Woftham or lombard,,He is such a woftham/lots of money but a real dickhead,Sydney 1980's,Possibly army too
A0156,R_1PZCnLbTZG1P3bS,Stupid,thick as two planks,,he/she is as thick as two planks,all thru my child hood/teen years,
A0157,R_1opvZQ1ZjRNc2WC,Stupid,drongo,,,,
A0159,R_1IT2CYXCbCz11d6,Stupid,Drongo,,"Jim's a drongo, he dropped the slab","Home, work",Drongo derived from a racehorse that never won a race
A0160,R_12inTl63U45w93q,Stupid,fuckwit,,tim is such a fuckwit,Since i was a teenager,
A0161,R_1QfkzcrMMCI1LNF,Stupid,"That's when I say ""drongo""",,"Don't be a drongo, just try it for yourself",,
A0162,R_1Le5EdCIXvEq1Cc,Stupid,Dick head,,Look at that dick head riding on the footpath,Yesterday when I saw a dick head riding on the footpath,
A0163,R_2EisRb4ZNcKCbpK,Stupid,drongo,,have a go at that drongo,light heartedly with mates,
A0164,R_31BrWUcO2gIbqlb,Stupid,Drongo,,He's a real drongo,Not so much lately,
A0165,R_1JXAS6xfZ8xgn6f,Stupid,Doofus,,He's a complete doofus,School,
A0167,R_2XpvSWTfaqpt4Xi,Stupid,drongo,,what a drongo,common,
A0168,R_2rVjxKwYAbkLHjC,Stupid,Drongo,,You're a drongo,In response to someone doing/saying something silly,
A0169,R_2axnt7y9GJEqiD2,Stupid,Drongo,,He's a drongo,Not recently - used in the past more I think,It's not seen as too offensive - more of a fun word I think
A0170,R_2c26q2MkPOXa6SH,Stupid,Drongo,,What a drongo,Talking about a person at school that wasn't smart,
A0171,R_BtxbyoVEeYbYXE5,Stupid,Wanker,,He's such a wanker,,
A0172,R_1qgQvT6kOBts1bk,Stupid,Tardo,,"hey, get a look at that tardo",many situations,There are tardo's everywhere
A0173,R_1eLg3WqfnVNPaG1,Stupid,Drongo,,That bloke is a drongo,"Still hear it these days, but probably less so","Being replaced more by terms like dickhead, which I don't think is uniquely Australian. Drongo is somewhat softer and perhaps more like fool."
A0174,R_1j6DnN3CgONd7np,Stupid,Drongo,,He's a bit of a drongo,,
A0176,R_27QfR86g1Nw0TCE,Stupid,Fuckwit,,The Minister is a dead set fuckwit,"Friends, family",Common use
A0178,R_2fiL1Xkl4oiftM3,Stupid,Drongo or galah,,That Rob's a real drongo.,Everyday use,
A0179,R_1EX68S37p1fNZK6,Stupid,Dorrie,,You're such a dorrie,Parents,
A0180,R_3GCjR6lifziVPrg,Stupid,Dumb arse,,He's a real dumb arse,Use it myself. Favourite road rage expression,
A0181,R_WkTlm3yNiPezWWl,Stupid,Wally,,He was a real Wally doing that,Generally older males,
A0182,R_2CKE2jWFJUS7kk6,Stupid,Galah,,Look at the galah doing burnouts,,
A0183,R_1Ns2F0b2AJwML4v,Stupid,Drongo,,He is a dead set drongo.,In my kitchen.,
A0184,R_AbTdB8Xndr5AeYx,Stupid,Drongo,,What a drongo,All over,
A0186,R_1j8tE0yFHixLQg8,Stupid,Thick as a brick,,They are as thick as a brick.,Family,
A0187,R_2EpjvvSzyXKMbYw,Stupid,Knob,,He's a complete knob!,Talking about politicians,They're everywhere
A0188,R_3M09UTK7Za0PBtg,Stupid,Dickhead,,He's a dickhead,Used mainly for males,
A0189,R_3Glc56KpjqLHhMT,Stupid,Not the sharpest knife in the drawer,,He's not the sharpest knife in the drawer,Regular conversation,One of many such euphemisms
A0190,R_AaIdYatieH4RphT,Stupid,Tool,,He's a complete tool,All over,No
A0191,R_sjThRJ3sAUGRJYZ,Stupid,Fuckwit,,"That blokes a fuckwit, he can't spell.",Pubs,
A0193,R_3R1IXGsEUQ7Bkdq,Stupid,NUF-nuf,,This town is full of nufnufs who don't know how to park.,"Recently, in Colac. Older man.","Sometimes it can be affectionate, ""You nuf nuf!"" But usually derogatory."
A0194,R_2DZvFRm7J37rR4N,Stupid,He can't knock the top off a rice custard,,Ringers getting into a fight,Dad used it when two ringers were fighting one another and one of them could not fight very well,No
A0196,R_295iCccKGArE1DE,Stupid,He's a buff head,,When they do something that is not the correct way of doing it,Work situation,
A0197,R_2urLArzdR29ESuG,Stupid,Drongo,,That bloke is a dead set drongo,Various from 80's onwards,
A0198,R_T0nd2u36N9Y5b2h,Stupid,Nong or Ning-nong,,Don't be a nong,,
A0199,R_1q3q4pOMEZTRpmK,Stupid,dingbat,,"That bloke, John, is a bit of dingbat, not a clue about anything.",Not a word I would use but one I have known most of my life.,
A0200,R_1LNmmsY2hrosMY4,Stupid,drongo,,don't put your head in there you drongo,still use it,
A0201,R_2t3iWU0VYbqwWfD,Stupid,Drongo,,,,
A0202,R_xF9KoOKPVU4pIiJ,Stupid,Not sure about this. Knuckle dragger?,,Members of the current cabinet are a bunch of knuckle draggers. Very stupid people.,Twitter,No. Hope you get a lot of enjoyment out of the results of this survey!
A0204,R_2BhtYGBdFRFmHba,Stupid,Fuckwit,,Usually about a politician,,
A0205,R_3GBVKJ57HA70yZc,Stupid,"Nong, spesh, knucklehead, boofhead",,"You bloody nong, he's spesh (special), what a knucklehead (unthinking), what a bloody boofhead (this is much worse than knucklehead)",All the time,"Larrikins are acceptable, boofheads aren't. Nong is a bit affectionate, spesh is not"
A0206,R_7aFzOrPyoNcrLAR,Stupid,Not the full quid.,,,,
A0208,R_1GKByubcNMIrNfc,Stupid,Drongo,,"Fool, idiot",Usually by older men or stereotypical representations in films or media of Australian men who worked on the land and gathered in pubs,Nup
A0209,R_28XM1RTkY4VPWtY,Stupid,Dumbo,,"When someone encounters an idiotic action the comment is often ""you bloody dumbo",I'm large male groups,No
A0210,R_3TXTSd81VwqJTaN,Stupid,Dickhead,,The prime minister is a complete dickhead,"I hear, and use, this in everyday speech",
A0211,R_1o26r8pCcJ1k1St,Stupid,Dumb shit,,He's a dumb shit,Everywhere,It's fit for purpose
A0212,R_2P0iuA1ZSVSp3qc,Stupid,Dil,,He is such a dil,General discussion.,Nil
A0213,R_3hltxmKyEZ6SH8w,Stupid,Drongo,,What a right royal drongo,It was something my dad would have said,
A0214,R_2XnUGLQGlk22JY2,Stupid,Fucktard,,Scott Morrison is a fucktard,,
A0216,R_6RUguxDL04MsaFX,Stupid,drongo,,He is such a drongo.,generally by older people as a child,no
A0218,R_2f219OZdfKvkuXN,Stupid,Quince,,He is a quince,As long as I can recall,
A0219,R_1JLRGhtwoWElEfa,Stupid,Not the full two bob,,He's not the full two bob,,
A0220,R_11jCxBGntzRxJDL,Stupid,drongo,,don't be such a bloody drongo,in conversation,
A0221,R_1q9ZPM0qEb7iqnw,Stupid,A dag,,You're a dag,All through my childhood,I understand a dag is a piece of dung hanging onto wool around a sheep bottom
A0223,R_11hGLPiFMmuQC7e,Stupid,Galah,,Stop acting like a galah and sit down,As a child,
A0225,R_3PvsuPZQttEvhZ5,Stupid,Dumb as dog shit,,He is …..,I use it all the time,
A0226,R_2393HleoRjYGZSW,Stupid,Half a sandwich short of a picnic.,,,,
A0227,R_22nTx1J9nZz2MnS,Stupid,drongo,,He's a drongo,fairly often,
A0228,R_31WZ8fndkYOzRcV,Stupid,drongo,,,,
A0229,R_2eWqBbiPfrY3m3F,Stupid,Dickhead,,What a dickhead,"TV, media, in public",No
A0230,R_1q7z8cxUkI4MLY6,Stupid,drongo,,"geez, he's a drongo",usually when describing a fellow workmate isn't the full quid,
